repo,stars,repo_size_mb,issue_number,issue_title,issue_url,pr_number,pr_url,merged_at,additions,deletions,changed_files,is_merged
jupyter-incubator/sparkmagic,1362,2.42,737,Support ipykernel >= 6,https://github.com/jupyter-incubator/sparkmagic/pull/737,737,https://github.com/jupyter-incubator/sparkmagic/pull/737,2022-05-02T21:46:50Z,243,83,8,2022-05-02T21:46:50Z
jupyter-incubator/sparkmagic,1362,2.42,758,Re-format All Code with black. Require black in CI,https://github.com/jupyter-incubator/sparkmagic/pull/758,758,https://github.com/jupyter-incubator/sparkmagic/pull/758,2022-04-29T18:21:02Z,5398,2512,99,2022-04-29T18:21:02Z
jupyter-incubator/sparkmagic,1362,2.42,723,Pin ipykernel<6.0.0,https://github.com/jupyter-incubator/sparkmagic/pull/723,723,https://github.com/jupyter-incubator/sparkmagic/pull/723,2021-08-17T00:27:20Z,122,111,5,2021-08-17T00:27:20Z
jupyter-incubator/sparkmagic,1362,2.42,333,Store to local for spark,https://github.com/jupyter-incubator/sparkmagic/pull/333,333,https://github.com/jupyter-incubator/sparkmagic/pull/333,2017-03-02T22:51:02Z,653,105,17,2017-03-02T22:51:02Z
jupyter-incubator/sparkmagic,1362,2.42,688,Adds a %%pretty cell magic to format Spark kernel dataframes as a HTML table,https://github.com/jupyter-incubator/sparkmagic/pull/688,688,https://github.com/jupyter-incubator/sparkmagic/pull/688,2021-06-05T18:45:27Z,666,28,12,2021-06-05T18:45:27Z
jupyter-incubator/sparkmagic,1362,2.42,662,Add support for custom authentication classes,https://github.com/jupyter-incubator/sparkmagic/pull/662,662,https://github.com/jupyter-incubator/sparkmagic/pull/662,2020-10-11T15:04:17Z,478,197,23,2020-10-11T15:04:17Z
jupyter-incubator/sparkmagic,1362,2.42,542,Support newer ipykernels,https://github.com/jupyter-incubator/sparkmagic/pull/542,542,https://github.com/jupyter-incubator/sparkmagic/pull/542,2019-07-12T17:32:19Z,249,416,10,2019-07-12T17:32:19Z
