repo,stars,repo_size_mb,issue_number,issue_title,issue_url,pr_number,pr_url,merged_at,additions,deletions,changed_files,is_merged
dask/dask,13524,125.17,12079,Numpy 2.2 updates for cov function with tests,https://github.com/dask/dask/pull/12079,12079,https://github.com/dask/dask/pull/12079,2025-10-03T17:14:04Z,176,32,6,2025-10-03T17:14:04Z
dask/dask,13524,125.17,12075,Avoid unconditional pyarrow dependency in dataframe.backends,https://github.com/dask/dask/pull/12075,12075,https://github.com/dask/dask/pull/12075,2025-09-15T14:09:09Z,307,179,5,2025-09-15T14:09:09Z
redis/redis-py,13277,10.41,3772,Adding ssl_verify_flags_config argument for ssl connection configuration,https://github.com/redis/redis-py/pull/3772,3772,https://github.com/redis/redis-py/pull/3772,2025-09-26T11:32:06Z,339,6,9,2025-09-26T11:32:06Z
cookiecutter/cookiecutter-django,13166,10.64,6067,Upgrade to Python 3.13,https://github.com/cookiecutter/cookiecutter-django/pull/6067,6067,https://github.com/cookiecutter/cookiecutter-django/pull/6067,2025-09-22T10:03:50Z,314,362,23,2025-09-22T10:03:50Z
pytest-dev/pytest,13149,36.04,13728,terminal: notify terminal emulator about test session progress,https://github.com/pytest-dev/pytest/pull/13728,13728,https://github.com/pytest-dev/pytest/pull/13728,2025-10-01T09:59:57Z,251,18,5,2025-10-01T09:59:57Z
pydantic/pydantic-ai,12851,85.03,3009,Let `builtin_tools` be specified at agent run time,https://github.com/pydantic/pydantic-ai/pull/3009,3009,https://github.com/pydantic/pydantic-ai/pull/3009,2025-10-09T07:50:44Z,220,5,7,2025-10-09T07:50:44Z
pydantic/pydantic-ai,12851,85.03,3106,Respect `FileUrl.force_download` flag in OpenAI Chat and Responses models,https://github.com/pydantic/pydantic-ai/pull/3106,3106,https://github.com/pydantic/pydantic-ai/pull/3106,2025-10-08T07:28:19Z,1434,2,5,2025-10-08T07:28:19Z
pydantic/pydantic-ai,12851,85.03,2970,Support image generation and output with Google and OpenAI,https://github.com/pydantic/pydantic-ai/pull/2970,2970,https://github.com/pydantic/pydantic-ai/pull/2970,2025-10-03T21:25:07Z,9035,991,78,2025-10-03T21:25:07Z
pydantic/pydantic-ai,12851,85.03,2980,Correctly merge `Model.settings` with `model_settings` in direct mode,https://github.com/pydantic/pydantic-ai/pull/2980,2980,https://github.com/pydantic/pydantic-ai/pull/2980,2025-10-01T15:54:05Z,191,27,19,2025-10-01T15:54:05Z
pydantic/pydantic-ai,12851,85.03,3021,feat: Otel instrumentation version 3 ,https://github.com/pydantic/pydantic-ai/pull/3021,3021,https://github.com/pydantic/pydantic-ai/pull/3021,2025-10-01T10:35:04Z,479,49,9,2025-10-01T10:35:04Z
pydantic/pydantic-ai,12851,85.03,3042,Support Anthropic built-in memory tool,https://github.com/pydantic/pydantic-ai/pull/3042,3042,https://github.com/pydantic/pydantic-ai/pull/3042,2025-09-30T16:20:43Z,341,16,6,2025-09-30T16:20:43Z
pydantic/pydantic-ai,12851,85.03,2957,"Expose `.messages`, `.toolsets` types in top-level `pydantic_ai` to aid IDE auto-import",https://github.com/pydantic/pydantic-ai/pull/2957,2957,https://github.com/pydantic/pydantic-ai/pull/2957,2025-09-30T13:06:11Z,456,281,99,2025-09-30T13:06:11Z
pydantic/pydantic-ai,12851,85.03,2962,Stop redundantly encoding binary data as base64 when sending to Google genai SDK,https://github.com/pydantic/pydantic-ai/pull/2962,2962,https://github.com/pydantic/pydantic-ai/pull/2962,2025-09-19T17:12:02Z,133,121,9,2025-09-19T17:12:02Z
pydantic/pydantic-ai,12851,85.03,2877,"Stream built-in tool calls from OpenAI, Google, Anthropic and return them on next request (required for OpenAI reasoning)",https://github.com/pydantic/pydantic-ai/pull/2877,2877,https://github.com/pydantic/pydantic-ai/pull/2877,2025-09-18T22:37:50Z,20404,3536,46,2025-09-18T22:37:50Z
pydantic/pydantic-ai,12851,85.03,2913,Fix `new_messages()` when `deferred_tool_results` is used with `message_history` ending in `ToolReturnPart`s,https://github.com/pydantic/pydantic-ai/pull/2913,2913,https://github.com/pydantic/pydantic-ai/pull/2913,2025-09-15T23:33:27Z,572,198,13,2025-09-15T23:33:27Z
pydantic/pydantic-ai,12851,85.03,2883,Fix how thinking summaries are sent back to Responses API,https://github.com/pydantic/pydantic-ai/pull/2883,2883,https://github.com/pydantic/pydantic-ai/pull/2883,2025-09-12T14:42:11Z,1421,1530,7,2025-09-12T14:42:11Z
dottxt-ai/outlines,12675,47.43,1761,Add json type conversion,https://github.com/dottxt-ai/outlines/pull/1761,1761,https://github.com/dottxt-ai/outlines/pull/1761,2025-10-07T11:36:29Z,730,506,12,2025-10-07T11:36:29Z
coleam00/Archon,12507,6.66,663,feat: Universal clipboard utility with improved copy functionality,https://github.com/coleam00/Archon/pull/663,663,https://github.com/coleam00/Archon/pull/663,2025-09-18T17:04:46Z,228,60,11,2025-09-18T17:04:46Z
coleam00/Archon,12507,6.66,650,Fix Issue #362: Provider-agnostic error handling for all LLM providers,https://github.com/coleam00/Archon/pull/650,650,https://github.com/coleam00/Archon/pull/650,2025-09-17T10:13:41Z,330,1,6,2025-09-17T10:13:41Z
coleam00/Archon,12507,6.66,659,feat: Enhance knowledge base cards with inline editing and smart navigation,https://github.com/coleam00/Archon/pull/659,659,https://github.com/coleam00/Archon/pull/659,2025-09-16T11:22:19Z,874,37,10,2025-09-16T11:22:19Z
coleam00/Archon,12507,6.66,643,feat: Ollama Integration with Separate LLM/Embedding Model Support,https://github.com/coleam00/Archon/pull/643,643,https://github.com/coleam00/Archon/pull/643,2025-09-15T13:38:03Z,10919,194,39,2025-09-15T13:38:03Z
AstrBotDevs/AstrBot,12506,32.94,2906,feat: 添加分页和搜索功能以获取会话列表，优化前端与后端的数据交互,https://github.com/AstrBotDevs/AstrBot/pull/2906,2906,https://github.com/AstrBotDevs/AstrBot/pull/2906,2025-09-28T15:25:30Z,260,100,5,2025-09-28T15:25:30Z
AstrBotDevs/AstrBot,12506,32.94,2895,feat: 支持删除指定会话以及部分会话管理优化,https://github.com/AstrBotDevs/AstrBot/pull/2895,2895,https://github.com/AstrBotDevs/AstrBot/pull/2895,2025-09-27T12:36:30Z,624,220,13,2025-09-27T12:36:30Z
AstrBotDevs/AstrBot,12506,32.94,2858,Feature: 适配 coze 供应商,https://github.com/AstrBotDevs/AstrBot/pull/2858,2858,https://github.com/AstrBotDevs/AstrBot/pull/2858,2025-09-27T06:19:52Z,1006,11,9,2025-09-27T06:19:52Z
AstrBotDevs/AstrBot,12506,32.94,2837,fix: 修复对话管理页面的关键词搜索功能失效的问题并优化一些 UI 样式,https://github.com/AstrBotDevs/AstrBot/pull/2837,2837,https://github.com/AstrBotDevs/AstrBot/pull/2837,2025-09-21T12:55:15Z,453,758,5,2025-09-21T12:55:15Z
AstrBotDevs/AstrBot,12506,32.94,2774,feat: 新增 Misskey 平台适配器,https://github.com/AstrBotDevs/AstrBot/pull/2774,2774,https://github.com/AstrBotDevs/AstrBot/pull/2774,2025-09-18T15:34:41Z,1294,6,10,2025-09-18T15:34:41Z
AstrBotDevs/AstrBot,12506,32.94,2719,feat: 支持OPENAI系 模型的自定义参数，以解决qwen模型无法使用的问题,https://github.com/AstrBotDevs/AstrBot/pull/2719,2719,https://github.com/AstrBotDevs/AstrBot/pull/2719,2025-09-13T05:23:50Z,388,63,5,2025-09-13T05:23:50Z
seleniumbase/SeleniumBase,11698,14.37,4012,CDP Mode: Patch 63,https://github.com/seleniumbase/SeleniumBase/pull/4012,4012,https://github.com/seleniumbase/SeleniumBase/pull/4012,2025-10-08T16:39:04Z,272,51,11,2025-10-08T16:39:04Z
dbt-labs/dbt-core,11648,48.87,12065,Correct Function Node Property Names,https://github.com/dbt-labs/dbt-core/pull/12065,12065,https://github.com/dbt-labs/dbt-core/pull/12065,2025-10-02T18:46:58Z,1075,911,14,2025-10-02T18:46:58Z
dbt-labs/dbt-core,11648,48.87,12008,Core handles lifecycle of function nodes,https://github.com/dbt-labs/dbt-core/pull/12008,12008,https://github.com/dbt-labs/dbt-core/pull/12008,2025-09-17T15:37:40Z,1507,1054,15,2025-09-17T15:37:40Z
